Xavier Institute of Engineering,,,,,,,,,,,,
"Mahim Causeway, Opp. Raheja Hospital, Mumbai - 400 016,Mumbai,400 016",,,,,,,,,,,,
Accession Register,,,,,,,,,,,,
 Accession number from 000001 to 013194,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Accession Number,Author,Title-Edition-ISBN,Publisher Details,Year,Pages,ISBN,Supplier,Call Number,Price,Bill No. & date,
15-May-05,000170,"Nelson, E. W.; Best, C. L. & Mclean, W. G.",Schaum's outline of theory and problems of engineering mechanics .-5th .-9780070586123,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"viii, 518 p.",9780070586123,Union Book Stall,"620.1NEL",500.00,"B:T-23/200515-May-2005",
,000171,,,,,,,,,,,
15-May-05,000172,"Malvino, Albert Paul",ELectronic principles .-6th .-9780074637289,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1999,"xi, 1012 p.",9780074637289,Union Book Stall,"621.381MAL","4,250.00","B:T-23/200515-May-2005",
,000173,,,,,,,,,,,
,000174,,,,,,,,,,,
,000175,,,,,,,,,,,
,000176,,,,,,,,,,,
,000177,,,,,,,,,,,
,000178,,,,,,,,,,,
,000179,,,,,,,,,,,
,000180,,,,,,,,,,,
,000181,,,,,,,,,,,
15-May-05,000182,"Mohan, Krishna & Sharma, R. C.",Business correspondence and report writing .-3rd .-0-07-044555-9,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xviii, 431p",0-07-044555-9,Union Book Stall,"651.7MOH",875.00,"B:T-22/200515-May-2005",
,000183,,,,,,,,,,,
,000184,,,,,,,,,,,
,000185,,,,,,,,,,,
,000186,,,,,,,,,,,
15-May-05,000187,"Bracewell, Ronald N.",The fourier transform and its applications .-1st .-9780070582859,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xx, 616 p.",9780070582859,Union Book Stall,"515.723BRA",975.00,"B:T-21/200515-May-2005",
,000188,,,,,,,,,,,
,000189,,,,,,,,,,,
15-May-05,000190,"Dhake, Arvind",Television and video engineering .-2nd .-9780074601051,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1995,"xix, 646 p.",9780074601051,Union Book Stall,"621.388 33DHA",500.00,"B:T-21/200515-May-2005",
,000191,,,,,,,,,,,
15-May-05,000192,"Dhamdhere, Dhananjay M.",Operating systems : a concept-based approach .-1st .-9780070482944,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xiv, 806 p.+",9780070482944,Union Book Stall,"005.43DHA",550.00,"B:T-21/200515-May-2005",
,000193,,,,,,,,,,,
15-May-05,000194,"Veerarajan, T.","Probability, statistics and random processes .-1st .-9780070494824","Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xiii, 693 p.",9780070494824,Union Book Stall,"519.23VEE","1,075.00","B:T-22/200515-May-2005",
,000195,,,,,,,,,,,
,000196,,,,,,,,,,,
,000197,,,,,,,,,,,
,000198,,,,,,,,,,,
15-May-05,000199,"Peebles, Peyton Z.","Probability, random variables and random signal principles .-4th .-9780070474284","Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xviii, 462 p.",9780070474284,Union Book Stall,"519.23PEE",250.00,"B:T-23/200515-May-2005",
15-May-05,000200,"Godbole, Achyut S.",Operating systems with case studies in UNIX MetWare Windows NT .-1st .-9780074621295,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1996,"xvii, 722 p.",9780074621295,Union Book Stall,"005.43GOD","1,175.00","B:T-22/200515-May-2005",
,000201,,,,,,,,,,,
,000202,,,,,,,,,,,
,000203,,,,,,,,,,,
,000204,,,,,,,,,,,
15-May-05,000205,"Post, Gerald V.",Database management systems .-2nd .-9780070484009,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xxi, 568 p.",9780070484009,Union Book Stall,"005.74POS","1,300.00","B:T-23/200515-May-2005",
,000206,,,,,,,,,,,
,000207,,,,,,,,,,,
,000208,,,,,,,,,,,
15-May-05,000209,"Chapra, Steven C. & Canale, Raymond P.",Numerical methods for engineers : with personal computer applications .-4th .-9780072431933,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xviii, 926 p.",9780072431933,Union Book Stall,"518CHA","2,125.00","B:T-21/200515-May-2005",
,000210,,,,,,,,,,,
,000211,,,,,,,,,,,
,000212,,,,,,,,,,,
,000213,,,,,,,,,,,
15-May-05,000214,"Hayt, William H.; Durbin, Steven M. & Kemmerly, Jack E.",Engineering circuit analysis .-6th .-9780070486478,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xviii, 781 p.",9780070486478,Union Book Stall,"621.319 2HAY","1,500.00","B:T-22/200515-May-2005",
,000215,,,,,,,,,,,
,000216,,,,,,,,,,,
,000217,,,,,,,,,,,
15-May-05,000218,"Schildt, Herbert",Java 2 : the complete reference .-5th .-9780071661744,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,1154 p.,9780071661744,Union Book Stall,"005.133SCH",425.00,"B:T-22/200515-May-2005",
15-May-05,000219,"Schildt, Herbert",C++ : the complete reference .-4th .-9780072226805,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xxxii, 1023 p.",9780072226805,Union Book Stall,"005.134SCH",395.00,"B:T-22/200515-May-2005",
15-May-05,000220,"Ravichandran, D.",Programming with C++ .-2nd .-9780070494886,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xix, 685 p.",9780070494886,Union Book Stall,"005.134RAV",430.00,"B:T-23/200515-May-2005",
,000221,,,,,,,,,,,
15-May-05,000222,"Balagurusamy, E.",Object-oriented programming with C++ .-2nd .-9780070402119,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2001,"xiv, 533 p.",9780070402119,Union Book Stall,"005.134BAL",975.00,"O:15-May-2005B:T-21/200515-May-2005",
,000223,,,,,,,,,,,
,000224,,,,,,,,,,,
,000225,,,,,,,,,,,
,000226,,,,,,,,,,,
15-May-05,000227,"Hubbard, John R.",Schaum's outline of theory and problems of programming with C++ .-2nd .-9780070473775,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"ix, 422 p.",9780070473775,Union Book Stall,"005.134HUB","1,990.00","B:T-22/200515-May-2005",
,000228,,,,,,,,,,,
,000229,,,,,,,,,,,
,000230,,,,,,,,,,,
,000231,,,,,,,,,,,
,000232,,,,,,,,,,,
,000233,,,,,,,,,,,
,000234,,,,,,,,,,,
,000235,,,,,,,,,,,
,000236,,,,,,,,,,,
15-May-05,000237,"Kumar, Ram & Agarwal, Rakesh",Programming in ANSI C .-1st .-9780314895639,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1993,"xxii, 452 p.",9780314895639,Union Book Stall,"005.135KUM",450.00,"B:T-23/200515-May-2005",
,000238,,,,,,,,,,,
15-May-05,000239,"Balagurusamy, E.",Programming in ANSI C .-3rd .-9780070534773,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1989,"xiv, 493 p.",9780070534773,Union Book Stall,"005.135BAL",925.00,"B:T-21/200515-May-2005",
,000240,,,,,,,,,,,
,000241,,,,,,,,,,,
,000242,,,,,,,,,,,
,000243,,,,,,,,,,,
15-May-05,000244,"Gottfried, Byron S.",Schaum's outline of theory and problems of programming with C .-2nd .-9780074634912,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1998,"vii, 532 p.",9780074634912,Union Book Stall,"005.135GOT",765.00,"B:T-22/200515-May-2005",
,000245,,,,,,,,,,,
,000246,,,,,,,,,,,
15-May-05,000247,"Bradley, Julia Case & Millspaugh, Anita C.","Programming in Visual Basic, version 6.0 .-1st .-9780074635216","Tata McGraw-Hill Publishing Company Limited, New Delhi",2000,"xx, 684 p.",9780074635216,Union Book Stall,"005.276 8BRA",790.00,"B:T-21/200515-May-2005",
,000248,,,,,,,,,,,
